cluster_id,topic_name,description,keywords,n_items,examples,created_at,last_updated_at
1088,Size Quality Good,"Feedbacks about: ""size, good quality"", ""good size, quality"", ""nice size, purpose"".","size, quality, good, nice, purpose, okay",8651,"Easy to hang. Nice size. Not the prettiest shelf but serves the purpose. || To small for size 12... not good quality || Nice socks, they seem a little larger than the size posted- other than that good quality || These are just okay quality, but difficult to find this size so using them for now. Might be better for lighter weight f || Opens some can nicely, but not all. It depends on the size of the lip of the can--if too thick, it will not work. It is ",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
804,Water Tank Tap,"Feedbacks about: ""tank, water"", ""water, tap"", ""water, tank"".","water, tank, tap, hose, drip, spilt",2260,"The water stored in this tank quickly develops a really unpleasant flavor. I though I just needed to break it in and fil || Tank for water is way too small, water gets everywhere, not worth the price we paid. Rough on your teeth/gums even on th || It works but it drips so fast that the bottom of the tank fills with water. If you fill it it will empty with in 8 hours || I have had it for less than 2 months and water is sprinkling along the hose || I'm not convinced these really do anything. The water from my tap has a scent that these don't really seem to take care ",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
583,Fabric Dress Garment,"Feedbacks about: ""fabric, dress"", ""dress, fabric"", ""garment"".","fabric, dress, garment",2227,"fabric felt cheap. i wear a 4-6 but this dress fit closer to a size 4. had to return for that reason. || The fabric was not chiffon and the dress hits a few inches above the knee. The dress I received was not the one I see in || Not impressed with the fabric. But the dress does fit well || Fabric is soft and fit well. Big busted and this dress worked || The dress is nice, but the fabric is very thin and it was big in the hip area. I had to take it in so it was not stickin",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
1075,Die Taupe Mot,"Feedbacks about: ""die"", ""taupe"", ""mot"".","die, taupe, mot, lok, lenght, havnt",2141,"Real leather, functional, and very reasonable cost. Less than $15. I bought 2. One black and one taupe. || Most uncomfortable shoes I have ever owned. They are Clark's!!! Clark's are suppose to be great. These are mot! || loks like what ordered || disappointed in lenght || Havnt got to use em yet so idk how they work but they look nice n stong",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
515,Color Yeti Duvet,"Feedbacks about: ""color"", ""color, yeti"", ""duvet, color"".","color, yeti, duvet",2133,"I like how easy it is to use. I hate the color My yeti is Hunter green and the handle doesn't match. || Exactly as described. Love the colors. Fits perfectly in my yeti/artic tumblers. || Love this duvet! The color is exactly at pictured and extremely soft! Easy to wash the the zipper closure works perfectl || These are cheaply made and fell apart after one use. We were so disappointed. The color was great, and we were hoping th || I love it and the color is beautiful.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
732,Cable Connector Cord,"Feedbacks about: ""cable, connector"", ""cable, wiring"", ""dji spark, otg cable"".","cable, connector, cord, wiring, dji, spark",2126,this is the 2nd one of these cables that went bad in just two month. The connector at the two vehicle only works when wi || The cable stared pulling away from the connector in just over a month. || The cable began to fray really quickly; the wiring broke within 3 months. I kept the cable plugged into the wall all the || I use this for the DJI spark. It works as an OTG cable. Sometimes I have to unplug and replug the cable for the iPhone 7 || I ordered a ton of cables for my production studio set up and these cables are well made and for the most part work grea,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
955,Strap Grommet Velcro,"Feedbacks about: ""strap"", ""grommet, strap"", ""strap, velcro"".","strap, grommet, velcro, slr, belt, sequin",2118,"These look great and fit well. The grommet holding the strap to the main shoe broke after about 5 hours of wear and had  || Love them , straps are needing more velcro one side is a little off but worth money || OK Strap. Just not for me. Too much for an SLR to practically carry. Would be a good option for just in case it slips ou || The strap you use to tighten or loosen the belt tends to move. I’ve had to adjust every time I’ve used this to keep it s || The strap broke as soon as I tried to put it on. Also the sequins are super scratchy. No thanks.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
404,Phone Device Aug,"Feedbacks about: ""phone, device"", ""phone"", ""phone, aug"".","phone, device, aug",1875,"Bought this phone in Aug and within a couple of days noticed that the battery kept dying quicker and quicker. Didn't dow || I used to charge my phone on the device for a couple months, and then the usb lights started to flash green and they do  || Didn't work for my Phone. It did work for another device I had so I kept it, but did not do what I bought it for. || Only used it for 3 days. Every time I plug my phone it says it’s not compatible with this device. || Seemed to mess up my phone when I put it in the device",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
1050,Quality Terrible Poor,"Feedbacks about: ""terrible quality, product"", ""poor quality, product"", ""awful quality, poor product"".","quality, terrible, poor, awful, horrible",1869,Super annoying. Poor product! Awful quality! I am not happy with this product at all. Not worth buying. Not good at all. || Terrible quality! Buy another product. The worst design. || Not happy with this product. Most terrible quality. Not what I was expecting. || I set up the product as directed and was able to record in GarageBand for about 5 minutes. I've been getting back into p || Product came covered in mold! Not just the bag that contains the sleeves but inside the packaging in the individual slee,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
376,Gift,"Feedbacks about: ""gift"".",gift,1788,"It was a gift, he loves them! || Bought as a gift, and it was loved || I bought this as a gift and he loves it. || nothing like expected but being a gift will not know if even liked it is not new || given as a gift - she like it",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
739,Shipping Quick Fast,"Feedbacks about: ""quick shipping"", ""fast delivery, item"", ""quick shipping, product"".","shipping, quick, fast, delivery, box, speedy",1668,"Perfect! Thank you for the quick shipping || Quick shipping, received as promised || Fast delivery. The item and package was not damaged. || QUICK SHIPPING! LOVE THE PRODUCT || Grateful for the speedy delivery but box was damaged badly like it was squished.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
913,Room House Home,"Feedbacks about: ""room"", ""room, house"", ""home, thick carpeting"".","room, house, home, thick, carpeting, wall",1643,I purchased a few of these for various rooms in my house and not a single one worked for my Droid Turbo 2! They look ide || We love it ! Sturdy enough for home use-- have med thick carpeting - very happy with product which came in large box- no || It's easy to setup and sounds good. It's loud and easily fills a room. I really like the wall and that it can hang on th || Not much room but alot of pockets || Big enough for my 10x10 with room left over for other items.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
294,Dog,"Feedbacks about: ""dog"".",dog,1641,My dog loves these . || It looks like it should work but my dog did nothing with it || Several of the dogs enjoy it but one of them is afraid because it is a bit noisy. || My dog loves it. When he needs to chew something he chooses this. || Helps my dog stay active.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
541,Glass Lens Glare,"Feedbacks about: ""glass, lens"", ""glare, glass"", ""glass, eye"".","glass, lens, glare, eye, lense, sunglass",1459,"These glasses constantly fall off when I look down. Also, the lenses scratched very easily || They work great and there is no glare like other glasses I’ve worn. || Glasses look way more yellow than I'd like. Also more importantly they make my eyes hurt right as I put them on. || like the glasses but they didn't help with the glare. my other polarized glasses work fine so i am not quite sure what h || It is very soft and comfortable but when I put it on and pull it all the way on it covers my eyes or if watching tv whil",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
529,Pillow Comfort,"Feedbacks about: ""pillow"", ""pillow, comfort"".","pillow, comfort",1438,The pillow is too plump and hard for my comfort || I love this pillow the comfort of being able to sit in bed while getting good support I wish it had a pillow to support  || this pillow works out for what its worth || Thought I was buying pillows not just the covers :( || If you are looking for a pillow to help balance your back this is NOT it!,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
995,Seller Purchase Merchandise,"Feedbacks about: ""purchase, seller"", ""seller, merchandise"", ""info, seller"".","seller, purchase, merchandise, info, mail, purchasing",1416,"I bought this and it took almost 3 weeks to arrive (but that was disclosed when i made the purchase). It arrived broken, || I received my purchase intact from the seller and I have been enjoying some of the Agatha Christie Hour episodes. || The purchase and seller were fine, but the game it's self is lacking... I wish it was more fun. || Note: The seller was fine. The merchandise is definitely not. Within six weeks of normal use by me - a ""senior citizen""  || could not get any info from the seller",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
202,Battery Seadoo,"Feedbacks about: ""battery"", ""battery, seadoo"".","battery, seadoo",1406,"The battery I ordered was for Seadoo SPX 1996, was not the right size way smaller than original one so bungees do not wo || It's o.k. but hard on batteries. || Charges batteries just fine || The battery does not last more than 3-4 hours || Battery was dead within two month. It’s definitely not all that it’s cracked up to be.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
352,Headphone Ear Earpiece,"Feedbacks about: ""headphone, ear"", ""headphone, earpiece"", ""headphone, earbud"".","headphone, ear, earpiece, earbud",1362,"These headphones are so bulky on the ear. They are not compact, they feel big and and sometimes even fall off. The cord  || The headphones do not work whatsoever. You put them in your ears hear a beeping sound and nothing else happens, the soun || I really like the way these headphones wrap around my ears. I have a hard time with ear buds and with headphones that fu || I love theses headphones. They say in my ears during all forms of exercise, sound good, and are easy to pair. They have  || Really love these headphones! They are kind of large over my ears but the amount of noise they block out is AMAZING! I c",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
664,Box Packaging Plastic,"Feedbacks about: ""box, packaging"", ""packaging, box"", ""box, plastic"".","box, packaging, plastic, material, cardboard",1312,"The box was falling apart when we got it, there was no packaging at all, just the regular product box and poorly taped.  || Shipped in a box 5 times to big and despite packaging not being damaged the roll was creased in multiple locations. At l || Packaging was horrible. The box is in rough shape should get a discount for this || Arrived on time and packaging was okay. They looked stunning out of the box. I’ve used them once and washed them once in || It came cracked right out of the box. Which leads me to believe the material is poor",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
1053,Didn Don,"Feedbacks about: ""didn, don"".","didn, don",1288,"Didn’t even stay inflated 6 hours ! I don’t see any hole in it ordered a replacement hopefully no issues || I didn’t receive it. I don’t know where or who they gave it to. I am very upset. || I ordered it but it didn't come at all and it has been late for 5 days!!! Had to cancel it!!! Don't want to be mean so I || Unfortunately I didn't read carefully and these don't come with any warranty. My sub just stopped working (well, like 3% || I received this and didn't know what to do with it and still don't.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
537,Skin Face Mask,"Feedbacks about: ""skin, face"", ""skin"", ""skin, mask"".","skin, face, mask",1235,Skin feels nice and clean after mask || It just sat on my skin it made my face feel super dry || I think it nourishes my skin on my face. Gives my the oil I need at my age. || It Does burn your skin if u leave it on the face to long. But it works !! Its better to use on your body if your face is || I like the way this 'skin' protects the face and sides of my Versa. What I don't care for is the way it 'shields' the bu,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
744,Vehicle Auto Car,"Feedbacks about: ""vehicle"", ""auto"", ""car, cadillac"".","vehicle, auto, car, cadillac",1227,"Sent it back, it worked but decided to go with a auto darkening one. || Very affordable and work really well car rides like a Cadillac || I recommend. I use on all my vehicles. Have someone available to assist you. || It said it fit my vehicle but it didnt || These have helped me keep my vehicle organized",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
451,Odor Smell Scent,"Feedbacks about: ""odor"", ""smell, stuff"", ""origional, scent"".","odor, smell, scent, stuff, origional",1221,"Not as the origional. Now has a scent in it. || Love the smell of these but they seem to loose their scent quicker than in the past. || This very cute tote smelled toxic. The odor was very very strong. || works great, if it ages it does have a bit of an odor || Very thin, does not mask odors well.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
677,Camera Picture,"Feedbacks about: ""picture, camera"", ""camera, picture"".","camera, picture",1213,"will not stay clipped to the camera like it should so can't utilize it to take pictures || Camera is not working correctly, camera does not shut off, and does view the pictures clear..very disappointed I will no || Loved the camera, just wish pictures were larger. || It started out working well. Then picture started freezing and camera kept going on and off.. was terrible || the picture was all distorted at the top and bottom and the camera got so hot you could not hold it to do testing",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
556,Job,"Feedbacks about: ""job"".",job,1213,"I suppose it's doing it's job, fits good. || Work well but Too small for the job. || You can tell that it's cheap, but it gets the job done. || It does the job that it was advertised and described. || A bit cumbersome but does the job.",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
761,Plastic,"Feedbacks about: ""plastic"".",plastic,1202,Much more childlike and plastic-y than I expected. || It is plastic . and it broke. || Beautiful... but wish it wasnt all plastic. || it smells like burn plastic. I return it as soon as I open it. || Plastic and does not hold secure. Hard to tighten to hold at all. Do not recomend.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
986,Cheap Price Material,"Feedbacks about: ""cheap price, product"", ""cheap material, price"", ""cheap product, price"".","cheap, price, material",1160,"Cheap product in price and quality... if you buy it you probably wont use it. Don't recommend even a little bit, especia || Product looks just like the advertisement. The only negative is it is only about a quarter inch thick. I can still use i || The product works as described. Just don't make my mistake by seeing a cheaper price, and skimming the fine print. This  || I am very pleased with the product so far. I installed it right away after it came in the mail. Very easy to install. My || Used this product as my tortoises substrate for over a year. Worked very well for keeping her home humid and clean. Like",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
614,Printer Ink Paper,"Feedbacks about: ""printer, ink"", ""printer ink, paper"", ""paper, fine pen"".","printer, ink, paper, fine, pen",1143,"Printer ink did NOT stick to this paper. I ended up keeping it for some other wedding- related projects because it was t || These did not work in my printer no matter how many times I tried to clear off the ink on the connectors and they wouldn || Printer does not accept this ink || Zero stars. I was not able to use - these may be defective or counterfeit. My printer keeps saying the ink is low and wo || Didn’t work, now my printer seems to not take ink",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
424,Case Hardcover,"Feedbacks about: ""case"", ""case, hardcover"".","case, hardcover",1070,"I bought this case because I wanted a hardcover and a nice color. It's been 5 months, and now both zippers are broken an || Loved my case, came in quick and looks very nice || Case came a little warped but besides that it was ok. || I like the case but does turn yellow after months of use. || This case arrived broken. I'd like to return it please. Thanks",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
667,Game,"Feedbacks about: ""game"".",game,1055,"You have to buy your way through the game || Ok game. Sometimes inconsistent. || Is a game, you should know why you got it || I like this game a lot, non hurried, peaceful. || Game is really fun to play but extremely hard to put together...once you get it together you won’t want to take it apart",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
426,Star Beyblade Keeland,"Feedbacks about: ""star"", ""star, beyblade"", ""star, keeland"".","star, beyblade, keeland, main",1018,If I could leave no stars I would. This beyblade never came and I even wrote them 2 emails. DO NOT buy from this company || 4.5 Stars Vi Keeland has the Midas Touch!! This book was everything! She gets better and bette with every new release. T || Only gets 3 stars since its not very good. The main things about this item i love is the strap. It is excellent when hol || So far so good. It appears to be working well. Have not had it long enough to give it 5 stars and truly evaluate it. || Actually i didnt want to put no star because i bought it less than one month,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
519,Screen,"Feedbacks about: ""screen"".",screen,1010,"Screen is faulty, stays patchy. || This is really hard to assemble. The top screen cracked while trying to apply. I would have loved to use it. || Screen was very easy to install. || Would not clear the screen. Came defective, had to return it. || One of the TV’s screen was cracked. I called and they were supposed to have someone call to pick up damaged one and send",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
389,Charger,"Feedbacks about: ""charger"".",charger,999,Charger stopped working after 2 weeks of having it || I have used this charger for around 4 months and it already stopped working. When I first used it the charger sometimes  || I ordered these chargers and within maybe 2 months only one of the 3 chargers is working.. I used the 10ft charger less  || I was really excited about these chargers. At first they worked great. Since purchasing every one has stopped working. || I have ordered more of these chargers than I can count. They all die out within 1-2 months.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
722,Hardware Review,"Feedbacks about: ""hardware"", ""hardware, review"".","hardware, review",991,The hardware was not included - please send immediately || Hardware should be included || The hardware looks too big and cheap. || Did not receive all the hardware to assemble || Hardware seems to be real stainless,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
247,Hair,"Feedbacks about: ""hair"".",hair,969,Works great. Removes hair painlessly. Lightweight. Highly recommend! || A little smaller than I had hoped for but it is pretty and holds my hair well || I love these! Hair does grow a little faster and nails as well. Been taking these for a few years now. || This smells so good! Makes hair look healthy and shiny || Holds hair fairly well but is workable.,2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
245,Amazon Review Hinge,"Feedbacks about: ""amazon, review"", ""hinge, amazon"", ""amazon, store"".","amazon, review, hinge, store, kind, dosent",874,"For all the hinges that amazon goes way overboard on their packaging for, how are lightbulbs not in that category? These || I bought it on amazon because the store is always sold out Amazon had it to me fast || First, I can’t believe Amazon would sell something without mentioning it takes some kind of European bulb. No where in t || I still haven’t gotten it. Shopping takes forever. I ordered it August 1st. And even amazon dosent know where it is. || Unfortunately I never received my mat and I always order from amazon. It was from a third party seller from China. I liv",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
797,Wash Towel Washer,"Feedbacks about: ""wash, towel"", ""towel, washer"", ""delicate wash"".","wash, towel, washer, delicate, washing, dryer",841,"Not thick and plush as you'd think. Hoping a wash will fluff them up. Was hoping more like PB towels. Oh well. Keeping m || Towels fray somewhat easily in the washer and dryer, but they're pretty nice for the price. || Cute, fit well but shrank after a delicate wash || The towels look good but after one washing they are falling apart at the seams and shredding. || These are very colorful set but I wish they were softer. They shrunk a bit after a few wash and dryer on low heat. Defin",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
528,Chair Cushion Seat,"Feedbacks about: ""cushion, seat"", ""chair, cushion"", ""chair"".","chair, cushion, seat",841,"the cushion on this seat is cheaply made and not comfortable. I also had this delivered without two of the plastic cover || disappointed, needs more cushion in seat || It is a pretty chair....the seat cushion is quite hard suprisingly, but for the price it is a good deal. || The bottom of the chair is complete trash. The part that is supposed to latch onto the bottom part of the chair tore, so || This chair is well made. The cushions are substantial. You better be strong than get it t decline though. I am hoping it",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
728,Hand Wrist,"Feedbacks about: ""hand"", ""hand, wrist"".","hand, wrist",832,"Need three hands to be able to wrap it around wrist without making multiple attempts. I have two wrists, and thought I w || It came with one hand instead of two || It's great, but seems to get a little too hot. You could burn your hand. || Sometimes the hands get lost, but it’s quiet no ticking at all. || Quite a bit bulkier than I was expecting definitely durable not bad to write with but it does feel larger in your hand",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
626,Instruction Stuff,"Feedbacks about: ""instruction"", ""instruction, stuff"".","instruction, stuff",785,"very easy to use , seems to be reliable , the instructions say to let it cool between use which I have been doing and al || This arrived on time but was completely open, not packaged, no instructions. It looks used. I'm going to return it. || There are no instructions for how to use I hoped there would be much more efficient || It did not come with instructions.. So not aure if I am using it correctly.. || Works well. Other that no instructions it was fairly easy to install",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
617,Plant Planter Bulb,"Feedbacks about: ""plant"", ""planter"", ""plant, bulb"".","plant, planter, bulb",750,"These planters are very flimsy. Would not recommend || The plant never grew and the bulb rotted. I grew 10 other elephant ears perfectly. || Definitely helps plants grow and grow stronger. || These plants were disappointing, dried out and brown. I'm still working to rejuvenate them, but not having much luck. || The whole for the plant was much smaller than expected but still super cute",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
609,Pair Couple,"Feedbacks about: ""pair"", ""pair, couple"".","pair, couple",714,"One of the pair stopped working after a couple days, the other still chargers but will overheat if left charging too lon || I had a pair of these I purchased a couple of years ago and love them. I still wear them but the sole is split on one of || Both pairs ripped after only a couple uses, both in different spots, not on the seams. || Love them. Very comfortable. I plan to order another pair || They came late but they cute. This my third pair!",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
636,Blade Knife Cut,"Feedbacks about: ""blade, razor"", ""knife, tungsten sharpener"", ""cut, blade"".","blade, knife, cut, razor, tungsten, sharpener",704,"it may be a little better than 4 blades. but overall I love this razor. well built and it does shaved good. I believe th || This knife is so hard to sharpen . Between tungsten sharpeners and diamond glass sharpeners I've had a hard time putting || 2 or 3 cuts,and you have to sharpen the blade... || I have some knives with a thicker blade that won't fit into the top. I read about others having the same problem but did || I thought out of all the knives I've purchased that this was my favorite. Unfortunately the blade snapped off the Handle",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
348,Iphone Ipad Apple,"Feedbacks about: ""iphone, ipad"", ""ipad, iphone"", ""iphone, apple product"".","iphone, ipad, apple, ipod, atleast",693,"I have an iPhone and and an iPad, and it feels like I'm constantly having to replace the cables. This cable actually fee || Does not work tried it on 4 iphones and 2 ipads it says accessory not supported dont buy this || This works as described with my iPhone and iPad. || Worked with my iPad and iPhones without a hitch. Well worth the purchase. || They stopped working with the iPhone after a month. It seems that the iPhone recognizes that they are not apple products",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
186,Shirt Style,"Feedbacks about: ""shirt"", ""shirt, style"".","shirt, style",686,"Ordered the t-shirt because i liked the style. I liked that it looked to run past the hips. I received in the mail and o || This shirt never arrived! || I was disappointed that the shirt runs large. I have to send it back. || Fits well, but the shirts are a bit long, i’m 5’8 || I am disappointed! The shirt does not look like the one I ordered!",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
610,Husband Man Wife,"Feedbacks about: ""husband"", ""man, wife"".","husband, man, wife",676,"Being self sufficient, I enjoy doing those things some men expect their wives to do. This kit is great for sewing on los || My husband loved these. || Did not get to try them - they were much to short and a size to small for my husband || I love the way it's made. It looks great on my husband. || My husband chewed through it in three days",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
168,Cat,"Feedbacks about: ""cat"".",cat,652,"Seem to work. The cats did Not starve || Cats won't even play with it. || My cat is not interested in this at all! || It is bigger than i thought it would be. Very pleased! My cat loves it. || one cat like it, one did not care, but one eat it good",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
934,Screw Knob,"Feedbacks about: ""screw"", ""screw, knob"", ""knob, screw"".","screw, knob",645,"The screws did not go far enough into the knobs to fit my standard dresser and some not as far as others. Easy to fix us || One of the knobs would not allow the screw to go all the way in, therefore leaving that side of handle a little loose. I || The one screw that comes with it was too short || They’re super cute but they are super difficult to put in. The screw on is so tiny. || after 3 month beginning g the screws were isolated",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
798,Bathroom Shower Bathrobe,"Feedbacks about: ""bathroom"", ""bathroom, shower"", ""bathrobe"".","bathroom, shower, bathrobe, bath, tub",594,"This bathrobe is lush and plush. It feels very luxurious. || Put it in my bathroom in front of shower || Solidly built and sturdy, looks great in our bathroom. We do not have it in our shower so we cannot say whether it would || Just what I was looking for bath time || This gets EVERYWHERE. If I used it in the shower, I had to stay longer to rinse the tub and the walls. How did it get on",2026-03-06T13:20:05.225428,2026-03-06T13:20:05.225428
